<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SBER;W;21/08/17;000000;180.5100000;277014960
SBER;W;28/08/17;000000;183.6600000;220506770
SBER;W;04/09/17;000000;185.8900000;199647000
SBER;W;11/09/17;000000;188.7500000;242503970
SBER;W;18/09/17;000000;187.5500000;199642330
SBER;W;25/09/17;000000;192.3300000;266439620
SBER;W;02/10/17;000000;194.1600000;192830100
SBER;W;09/10/17;000000;196.4800000;168715990
SBER;W;16/10/17;000000;192.9700000;165666730
SBER;W;23/10/17;000000;196.0500000;159728870
SBER;W;30/10/17;000000;193.8000000;162022280
SBER;W;06/11/17;000000;217.7000000;483320890
SBER;W;13/11/17;000000;225.6500000;292658100
SBER;W;20/11/17;000000;228.0000000;227632960
SBER;W;27/11/17;000000;221.5000000;184347810
SBER;W;04/12/17;000000;220.8900000;162523690
SBER;W;11/12/17;000000;226.5300000;233717430
SBER;W;18/12/17;000000;221.4400000;149889740
SBER;W;25/12/17;000000;225.2000000;96493020
SBER;W;01/01/18;000000;238.6000000;119582940
SBER;W;08/01/18;000000;237.7500000;166460220
SBER;W;15/01/18;000000;242.4500000;184648940
SBER;W;22/01/18;000000;247.0000000;190317810
SBER;W;29/01/18;000000;257.3200000;315944620
SBER;W;05/02/18;000000;250.1100000;303509660
SBER;W;12/02/18;000000;266.9900000;258267290
SBER;W;19/02/18;000000;277.4900000;169856090
SBER;W;26/02/18;000000;273.0000000;245194030
SBER;W;05/03/18;000000;274.6000000;150898360
SBER;W;12/03/18;000000;256.1500000;289826120
SBER;W;19/03/18;000000;262.0000000;276201030
SBER;W;26/03/18;000000;253.5700000;190043060
SBER;W;02/04/18;000000;256.7600000;243814500
SBER;W;09/04/18;000000;204.7000000;911006960
SBER;W;16/04/18;000000;215.3600000;733031350
SBER;W;23/04/18;000000;224.8700000;435250660
SBER;W;30/04/18;000000;228.5500000;206811780
SBER;W;07/05/18;000000;235.7200000;220151290
SBER;W;14/05/18;000000;222.2000000;261445850
SBER;W;21/05/18;000000;220.0000000;218158880
SBER;W;28/05/18;000000;220.0000000;210498410
SBER;W;04/06/18;000000;212.6000000;225652690
SBER;W;11/06/18;000000;209.3600000;205662640
SBER;W;18/06/18;000000;214.4300000;298911760
SBER;W;25/06/18;000000;218.0000000;315002820
SBER;W;02/07/18;000000;226.7100000;222571770
SBER;W;09/07/18;000000;229.8500000;230581270
SBER;W;16/07/18;000000;204.3400000;378930630
SBER;W;23/07/18;000000;208.9000000;303647640
SBER;W;30/07/18;000000;202.2100000;263016630
SBER;W;06/08/18;000000;186.1500000;528480050
SBER;W;13/08/18;000000;189.5500000;366397820
SBER;W;20/08/18;000000;180.3900000;436374490
SBER;W;27/08/18;000000;182.0000000;270138970
SBER;W;03/09/18;000000;174.9000000;249754030
SBER;W;10/09/18;000000;188.7100000;586678510
SBER;W;17/09/18;000000;193.4400000;453045180
SBER;W;24/09/18;000000;203.3200000;430671780
SBER;W;01/10/18;000000;187.2000000;400771440
SBER;W;08/10/18;000000;191.8500000;423491980
SBER;W;15/10/18;000000;183.8000000;342777280
SBER;W;22/10/18;000000;181.0000000;449918080
SBER;W;29/10/18;000000;192.6000000;335652860
SBER;W;05/11/18;000000;195.7500000;354640240
SBER;W;12/11/18;000000;199.2600000;372119610
SBER;W;19/11/18;000000;197.3000000;275761360
SBER;W;26/11/18;000000;194.0000000;415389000
SBER;W;03/12/18;000000;195.0100000;316962820
SBER;W;10/12/18;000000;184.9300000;283905400
SBER;W;17/12/18;000000;186.7900000;349346480
SBER;W;24/12/18;000000;186.3400000;193295940
SBER;W;31/12/18;000000;190.9900000;72642870
SBER;W;07/01/19;000000;196.8000000;229070500
SBER;W;14/01/19;000000;208.4400000;294017730
SBER;W;21/01/19;000000;212.0000000;323113340
SBER;W;28/01/19;000000;216.2900000;315090300
SBER;W;04/02/19;000000;210.4300000;254239020
SBER;W;11/02/19;000000;208.0000000;441904690
SBER;W;18/02/19;000000;205.2500000;323407480
SBER;W;25/02/19;000000;206.5400000;283815020
SBER;W;04/03/19;000000;203.9500000;176748330
SBER;W;11/03/19;000000;203.5500000;192531980
SBER;W;18/03/19;000000;207.7000000;260231340
SBER;W;25/03/19;000000;214.4200000;394307160
SBER;W;01/04/19;000000;227.5000000;322640440
SBER;W;08/04/19;000000;239.5000000;518415160
SBER;W;15/04/19;000000;232.6000000;272286600
SBER;W;22/04/19;000000;223.1800000;339486700
SBER;W;29/04/19;000000;232.5200000;196194790
SBER;W;06/05/19;000000;227.0000000;180837460
SBER;W;13/05/19;000000;226.9400000;253136450
SBER;W;20/05/19;000000;234.4500000;265501300
SBER;W;27/05/19;000000;233.2400000;242751310
SBER;W;03/06/19;000000;248.2800000;336689480
SBER;W;10/06/19;000000;238.8000000;255107320
SBER;W;17/06/19;000000;238.0200000;241528740
SBER;W;24/06/19;000000;238.5500000;187354020
SBER;W;01/07/19;000000;242.8300000;164931950
