<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ROSN;W;26/09/16;000000;342.8000000;18882670
ROSN;W;03/10/16;000000;341.5000000;18795470
ROSN;W;10/10/16;000000;353.8500000;24845190
ROSN;W;17/10/16;000000;344.3000000;12925420
ROSN;W;24/10/16;000000;349.9000000;10576800
ROSN;W;31/10/16;000000;342.0000000;12245210
ROSN;W;07/11/16;000000;342.1000000;17047320
ROSN;W;14/11/16;000000;337.0000000;18899100
ROSN;W;21/11/16;000000;341.5000000;13460990
ROSN;W;28/11/16;000000;340.0000000;24618440
ROSN;W;05/12/16;000000;370.8000000;55050760
ROSN;W;12/12/16;000000;410.5000000;43278850
ROSN;W;19/12/16;000000;382.8500000;17206910
ROSN;W;26/12/16;000000;402.8000000;11461560
ROSN;W;02/01/17;000000;392.5000000;18535750
ROSN;W;09/01/17;000000;388.0000000;24810170
ROSN;W;16/01/17;000000;387.5000000;20914000
ROSN;W;23/01/17;000000;402.0000000;24787920
ROSN;W;30/01/17;000000;397.8500000;16805110
ROSN;W;06/02/17;000000;377.6000000;20045410
ROSN;W;13/02/17;000000;354.0000000;28337210
ROSN;W;20/02/17;000000;343.0000000;19931840
ROSN;W;27/02/17;000000;336.5000000;30309110
ROSN;W;06/03/17;000000;315.0000000;24424770
ROSN;W;13/03/17;000000;314.4500000;30921780
ROSN;W;20/03/17;000000;315.6500000;33435300
ROSN;W;27/03/17;000000;323.5000000;27411020
ROSN;W;03/04/17;000000;335.9500000;23495450
ROSN;W;10/04/17;000000;315.7500000;24084800
ROSN;W;17/04/17;000000;317.4000000;17505000
ROSN;W;24/04/17;000000;317.2500000;19788030
ROSN;W;01/05/17;000000;312.4500000;15576270
ROSN;W;08/05/17;000000;307.5000000;10448500
ROSN;W;15/05/17;000000;306.1000000;19844500
ROSN;W;22/05/17;000000;304.0000000;25017200
ROSN;W;29/05/17;000000;301.0000000;31784930
ROSN;W;05/06/17;000000;306.0000000;23914550
ROSN;W;12/06/17;000000;306.5000000;34657320
ROSN;W;19/06/17;000000;322.0000000;27115680
ROSN;W;26/06/17;000000;323.0000000;21692200
ROSN;W;03/07/17;000000;317.8000000;21386000
