<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
URKA;W;18/09/17;000000;145.8500000;1496460
URKA;W;25/09/17;000000;137.5000000;1673370
URKA;W;02/10/17;000000;137.1000000;949320
URKA;W;09/10/17;000000;136.5000000;601330
URKA;W;16/10/17;000000;131.4500000;902040
URKA;W;23/10/17;000000;131.2500000;1317640
URKA;W;30/10/17;000000;129.6500000;437430
URKA;W;06/11/17;000000;130.3000000;2228900
URKA;W;13/11/17;000000;130.4500000;2080690
URKA;W;20/11/17;000000;129.7500000;1111150
URKA;W;27/11/17;000000;128.5000000;650870
URKA;W;04/12/17;000000;127.7500000;759620
URKA;W;11/12/17;000000;127.1500000;992200
URKA;W;18/12/17;000000;121.4000000;1715570
URKA;W;25/12/17;000000;117.5000000;1229390
URKA;W;01/01/18;000000;121.0000000;201170
URKA;W;08/01/18;000000;124.1500000;952590
URKA;W;15/01/18;000000;123.8000000;1069560
URKA;W;22/01/18;000000;128.0000000;1171260
URKA;W;29/01/18;000000;115.8500000;923450
URKA;W;05/02/18;000000;107.6500000;867680
URKA;W;12/02/18;000000;107.7000000;546550
URKA;W;19/02/18;000000;105.4000000;516990
URKA;W;26/02/18;000000;102.5000000;786550
URKA;W;05/03/18;000000;102.0500000;792380
URKA;W;12/03/18;000000;100.0000000;1862990
URKA;W;19/03/18;000000;111.0500000;2027550
URKA;W;26/03/18;000000;113.2500000;1227080
URKA;W;02/04/18;000000;117.5000000;1338860
URKA;W;09/04/18;000000;121.9000000;1413400
URKA;W;16/04/18;000000;111.6000000;1128160
URKA;W;23/04/18;000000;111.7500000;474010
URKA;W;30/04/18;000000;110.6500000;275630
URKA;W;07/05/18;000000;106.0500000;493000
URKA;W;14/05/18;000000;104.1000000;257410
URKA;W;21/05/18;000000;105.3000000;425170
URKA;W;28/05/18;000000;104.6500000;401110
URKA;W;04/06/18;000000;104.3000000;404630
URKA;W;11/06/18;000000;107.0000000;398490
URKA;W;18/06/18;000000;102.5500000;333730
URKA;W;25/06/18;000000;104.0500000;196280
URKA;W;02/07/18;000000;101.4500000;213250
URKA;W;09/07/18;000000;102.6500000;236940
URKA;W;16/07/18;000000;101.9000000;589090
URKA;W;23/07/18;000000;101.0000000;209290
URKA;W;30/07/18;000000;99.5000000;249850
URKA;W;06/08/18;000000;91.7500000;563530
URKA;W;13/08/18;000000;84.9000000;440900
URKA;W;20/08/18;000000;84.1000000;492540
URKA;W;27/08/18;000000;80.8500000;637870
URKA;W;03/09/18;000000;79.9000000;233980
URKA;W;10/09/18;000000;78.9500000;342290
URKA;W;17/09/18;000000;84.0000000;4402730
URKA;W;24/09/18;000000;83.0000000;1708200
URKA;W;01/10/18;000000;81.6000000;686880
URKA;W;08/10/18;000000;86.4500000;1571740
URKA;W;15/10/18;000000;85.2500000;2173420
URKA;W;22/10/18;000000;84.0000000;1079140
URKA;W;29/10/18;000000;84.2200000;262990
URKA;W;05/11/18;000000;82.2800000;280400
URKA;W;12/11/18;000000;84.2000000;1155680
URKA;W;19/11/18;000000;84.9000000;1593620
URKA;W;26/11/18;000000;84.0000000;836450
URKA;W;03/12/18;000000;85.6400000;857820
URKA;W;10/12/18;000000;85.0400000;237830
URKA;W;17/12/18;000000;82.5000000;324160
URKA;W;24/12/18;000000;84.9600000;437250
URKA;W;31/12/18;000000;85.2000000;53100
URKA;W;07/01/19;000000;85.5000000;306030
URKA;W;14/01/19;000000;85.6000000;401990
URKA;W;21/01/19;000000;86.3000000;360300
URKA;W;28/01/19;000000;86.9000000;414360
URKA;W;04/02/19;000000;86.9800000;750020
URKA;W;11/02/19;000000;85.5200000;282530
URKA;W;18/02/19;000000;81.5200000;656920
URKA;W;25/02/19;000000;85.3400000;773430
URKA;W;04/03/19;000000;84.6400000;562340
URKA;W;11/03/19;000000;82.5000000;5996350
URKA;W;18/03/19;000000;87.2000000;1030120
URKA;W;25/03/19;000000;87.3000000;514510
URKA;W;01/04/19;000000;87.0000000;3147890
URKA;W;08/04/19;000000;87.2000000;553100
URKA;W;15/04/19;000000;88.0600000;952230
URKA;W;22/04/19;000000;88.5400000;355730
URKA;W;29/04/19;000000;88.4200000;121630
URKA;W;06/05/19;000000;87.8600000;241170
URKA;W;13/05/19;000000;88.3000000;442480
URKA;W;20/05/19;000000;88.5000000;234080
URKA;W;27/05/19;000000;87.7200000;378810
URKA;W;03/06/19;000000;88.2400000;133030
URKA;W;10/06/19;000000;87.6400000;112880
URKA;W;17/06/19;000000;88.3800000;180560
URKA;W;24/06/19;000000;87.7600000;132550
URKA;W;01/07/19;000000;88.0000000;213890
URKA;W;08/07/19;000000;87.7600000;195860
URKA;W;15/07/19;000000;92.0000000;656270
URKA;W;22/07/19;000000;98.9000000;8798370
URKA;W;29/07/19;000000;102.8800000;1775790
URKA;W;05/08/19;000000;117.8600000;2705280
URKA;W;12/08/19;000000;118.0600000;374300
URKA;W;19/08/19;000000;118.3400000;234610
URKA;W;26/08/19;000000;118.8200000;569300
URKA;W;02/09/19;000000;118.7400000;276810
URKA;W;09/09/19;000000;118.9600000;403160
URKA;W;16/09/19;000000;119.0400000;224260
