<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
HYDR;W;16/11/15;000000;0.5980000;2524648000
HYDR;W;23/11/15;000000;0.6047000;2281044000
HYDR;W;30/11/15;000000;0.6039000;1504357000
HYDR;W;07/12/15;000000;0.5945000;1616007000
HYDR;W;14/12/15;000000;0.6640000;3245686000
HYDR;W;21/12/15;000000;0.6586000;1221485000
HYDR;W;28/12/15;000000;0.6790000;468338000
HYDR;W;04/01/16;000000;0.6771000;597699000
HYDR;W;11/01/16;000000;0.6152000;1810846000
HYDR;W;18/01/16;000000;0.6500000;2131426000
HYDR;W;25/01/16;000000;0.6490000;1969613000
HYDR;W;01/02/16;000000;0.6710000;2145085000
HYDR;W;08/02/16;000000;0.6754000;1629639000
HYDR;W;15/02/16;000000;0.7103000;2049783000
HYDR;W;22/02/16;000000;0.6926000;2161824000
HYDR;W;29/02/16;000000;0.6700000;2579084000
HYDR;W;07/03/16;000000;0.6880000;2101091000
HYDR;W;14/03/16;000000;0.7000000;3909034000
HYDR;W;21/03/16;000000;0.6954000;1829156000
HYDR;W;28/03/16;000000;0.6885000;1432389000
HYDR;W;04/04/16;000000;0.6940000;1713566000
HYDR;W;11/04/16;000000;0.6820000;1891909000
HYDR;W;18/04/16;000000;0.6935000;2449522000
HYDR;W;25/04/16;000000;0.6902000;1900507000
HYDR;W;02/05/16;000000;0.6745000;1179120000
HYDR;W;09/05/16;000000;0.6730000;1784250000
HYDR;W;16/05/16;000000;0.6532000;1241209000
HYDR;W;23/05/16;000000;0.6633000;1698781000
HYDR;W;30/05/16;000000;0.6288000;2617439000
HYDR;W;06/06/16;000000;0.6005000;2094395000
HYDR;W;13/06/16;000000;0.5745000;2187639000
HYDR;W;20/06/16;000000;0.6008000;1944521000
HYDR;W;27/06/16;000000;0.6307000;1728863000
HYDR;W;04/07/16;000000;0.5922000;2019334000
HYDR;W;11/07/16;000000;0.6375000;2369173000
HYDR;W;18/07/16;000000;0.6633000;1815030000
HYDR;W;25/07/16;000000;0.7074000;4838869000
HYDR;W;01/08/16;000000;0.6801000;2018816000
HYDR;W;08/08/16;000000;0.7026000;1281348000
HYDR;W;15/08/16;000000;0.6840000;1876070000
HYDR;W;22/08/16;000000;0.7689000;5007730000
HYDR;W;29/08/16;000000;0.7920000;5607066000
HYDR;W;05/09/16;000000;0.8262000;2694368000
HYDR;W;12/09/16;000000;0.7553000;3603418000
HYDR;W;19/09/16;000000;0.8095000;2267894000
HYDR;W;26/09/16;000000;0.7750000;1898775000
HYDR;W;03/10/16;000000;0.7464000;2845128000
HYDR;W;10/10/16;000000;0.7555000;1866416000
HYDR;W;17/10/16;000000;0.7900000;2136859000
HYDR;W;24/10/16;000000;0.8030000;2923547000
HYDR;W;31/10/16;000000;0.7717000;1734435000
HYDR;W;07/11/16;000000;0.7620000;2515169000
HYDR;W;14/11/16;000000;0.8072000;3075839000
HYDR;W;21/11/16;000000;0.8900000;4415660000
HYDR;W;28/11/16;000000;0.9300000;8657949000
HYDR;W;05/12/16;000000;0.9675000;5431653000
HYDR;W;12/12/16;000000;0.9453000;5119608000
HYDR;W;19/12/16;000000;0.8932000;3195122000
HYDR;W;26/12/16;000000;0.9259000;2056983000
HYDR;W;02/01/17;000000;0.9345000;1930155000
HYDR;W;09/01/17;000000;0.9731000;3897179000
HYDR;W;16/01/17;000000;1.0866000;9491139000
HYDR;W;23/01/17;000000;1.0585000;7265859000
HYDR;W;30/01/17;000000;1.0878000;5378220000
HYDR;W;06/02/17;000000;1.0838000;3813524000
HYDR;W;13/02/17;000000;1.0710000;3504486000
HYDR;W;20/02/17;000000;0.9810000;2598710000
HYDR;W;27/02/17;000000;1.0030000;7473823000
HYDR;W;06/03/17;000000;0.9335000;4627127000
HYDR;W;13/03/17;000000;0.9580000;3477367000
HYDR;W;20/03/17;000000;0.9450000;3928823000
HYDR;W;27/03/17;000000;0.9329000;2480693000
HYDR;W;03/04/17;000000;0.9416000;2467015000
HYDR;W;10/04/17;000000;0.8475000;4821364000
HYDR;W;17/04/17;000000;0.8725000;2790670000
HYDR;W;24/04/17;000000;0.8950000;2990444000
HYDR;W;01/05/17;000000;0.8910000;1251418000
HYDR;W;08/05/17;000000;0.8848000;1597200000
HYDR;W;15/05/17;000000;0.8150000;2415267000
HYDR;W;22/05/17;000000;0.8300000;2900580000
HYDR;W;29/05/17;000000;0.8300000;4593932000
HYDR;W;05/06/17;000000;0.7939000;2232176000
